Scan,Center,Count_Time
000_SP_Gr_400um.h5,1344,0.035
001_SP_Gr_400um_1mm.h5,1230,0.035
002_SP_Gr_400um_1mm.h5,1225,0.035
003_SP_Gr_400um_1mm_pos2.h5,1230,0.035
004_SP_Gr_250um_pos1.h5,1225,0.035
005_SP_Gr_250um_pos2.h5,1230,0.035
006_SP_Gr_250um_pos3.h5,1228,0.035
007_SP_Gr_250um_pos3_120mm.h5,1226.5,0.035
008_SP_Gr_300um_pos1_120mm.h5,1229.5,0.035
009_SP_Gr_300um_pos2_120mm.h5,1231.5,0.035
010_SP_Gr_350um_pos2_120mm.h5,1230,0.035
011_SP_Gr_350um_pos1_120mm.h5,1226.5,0.035
012_nmc_LN3107_189_3_pos1_120mm.h5,1228.5,0.035
013_nmc_LN3107_189_3_pos2_120mm.h5,1230,0.035
016_Gr_LN3107_190_4A_pos1_5x.h5,1430.5,0.04
018_CFF_B36A_P98_27keV.h5,1238.5,0.05
019_CFF_B36A_P98_35keV.h5,1224.5,0.5
022_CFF_B36A_P98_35keV_pos2.h5,1228,0.5
023_CFF_B36A_P98_35keV_pos3_3x3.h5,1215.5,0.5
024_CFF_B36A_P98_35keV_pos3_3x3.h5,1218,0.5
025_CFF_B36A_P98_35keV_pos3_3x3.h5,1224.5,0.5
036_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1226,0.5
045_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1224.5,0.5
046_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1231,0.5
047_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1230,0.5
048_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1225,0.5
049_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1231,0.5
050_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1226,0.5
051_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1232,0.5
052_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1217.5,0.5
053_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1216,0.5
054_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1216.5,0.5
055_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1214,0.5
056_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1217.5,0.5
057_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1216.5,0.5
058_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1227,0.5
059_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1229,0.5
060_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1231.5,0.5
061_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1227,0.5
062_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1228,0.5
063_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1231,0.5
064_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1230,0.5
065_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1236.5,0.5
066_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1209,0.5
067_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1218.5,0.5
068_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1217,0.5
069_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1219,0.5
070_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1216,0.5
071_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1216.5,0.5
072_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1220.5,0.5
073_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1220,0.5
074_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1220,0.5
075_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1225,0.5
076_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1223.5,0.5
077_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1223.5,0.5
079_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1202,0.05
080_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1200,0.05
081_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1218,0.05
082_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1218,0.05
083_CFF_B36A_P15_35keV_pos1_3_7x6.h5,1216,0.05
084_CFF_B36A_P16_35keV_pos1_3x3.h5,1215,0.05
085_CFF_B36A_P16_35keV_pos1_3x3.h5,1218.5,0.05
086_CFF_B36A_P16_35keV_pos1_3x3.h5,1206.5,0.05
087_CFF_B36A_P16_35keV_pos1_3x3.h5,1227.5,0.05
088_CFF_B36A_P16_35keV_pos1_3x3.h5,1225,0.05
089_CFF_B36A_P16_35keV_pos1_3x3.h5,1222.5,0.05
090_CFF_B36A_P16_35keV_pos1_3x3.h5,1200,0.05
091_CFF_B36A_P16_35keV_pos1_3x3.h5,1214,0.05
092_CFF_B36A_P16_35keV_pos1_3x3.h5,1208,0.05
093_CFF_B36A_P16_35keV_pos1_3x3_0p2s.h5,1213.5,0.2
